personality,model,dataset,rf__max_depth,rf__max_features,rf__max_samples,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svr__C,svr__epsilon,svr__gamma,svr__kernel
No_personality,RF,short-arousal,5,sqrt,,3,10,200,,,,
No_personality,SVR,short-arousal,,,,,,,10.0,0.1,1.0,rbf
No_personality,RF,short-valence,5,sqrt,,5,2,150,,,,
No_personality,SVR,short-valence,,,,,,,0.1,0.2,0.0001,rbf
No_personality,RF,long-arousal,10,sqrt,,5,2,150,,,,
No_personality,SVR,long-arousal,,,,,,,10.0,0.2,1.0,rbf
No_personality,RF,long-valence,5,sqrt,0.8,3,10,150,,,,
No_personality,SVR,long-valence,,,,,,,10.0,0.2,1.0,rbf
Traits,RF,short-arousal,5,sqrt,0.8,3,10,200,,,,
Traits,SVR,short-arousal,,,,,,,10.0,0.1,1.0,rbf
Traits,RF,short-valence,5,sqrt,,3,10,100,,,,
Traits,SVR,short-valence,,,,,,,0.1,0.2,0.0001,rbf
Traits,RF,long-arousal,10,sqrt,,3,10,200,,,,
Traits,SVR,long-arousal,,,,,,,10.0,0.2,1.0,rbf
Traits,RF,long-valence,10,sqrt,0.8,3,2,100,,,,
Traits,SVR,long-valence,,,,,,,10.0,0.2,1.0,rbf
Clusters,RF,short-arousal,7,0.5,,3,2,100,,,,
Clusters,SVR,short-arousal,,,,,,,10.0,0.1,1.0,rbf
Clusters,RF,short-valence,5,sqrt,0.8,5,5,100,,,,
Clusters,SVR,short-valence,,,,,,,0.1,0.2,0.0001,rbf
Clusters,RF,long-arousal,5,sqrt,0.8,5,10,150,,,,
Clusters,SVR,long-arousal,,,,,,,10.0,0.2,1.0,rbf
Clusters,RF,long-valence,10,sqrt,0.8,3,10,150,,,,
Clusters,SVR,long-valence,,,,,,,10.0,0.2,1.0,rbf
